,designer,count
581,117198,838
582,5336129,3
583,9807164,9
584,6891659,7
585,397187,181
586,3496845,267
587,14254,20
588,818200,136
589,1530855,1
590,1850470,82
591,5220385,46
592,570542,19
593,3440,2119
594,32854,17
595,2424198,32
596,1091,283
597,43923,7
598,1252799,106
599,2472411,248
600,5840472,13
601,185655,1
602,115078,2
603,248821,36
604,7016637,5
605,6983742,24
606,34301,117
607,8364,3
608,5224722,2
609,5220371,36
610,3177247,3
611,19003,1091
612,7405067,35
613,7727992,7
614,7988564,1
615,697220,1
616,77463,42
617,3733490,98
618,4255455,1
619,6915,21
620,25370,233
621,1714560,1
622,19414,121
623,1855675,44
624,70074,59
625,70033,30
626,240415,4
627,130548,105
628,529462,84
629,624465,30
630,8642615,5
631,134916,23
632,7101521,3
633,34036,3
634,466397,22
635,922784,28
636,487893,6
637,3820505,7
638,932667,228
639,5764,19
640,320842,2
641,195900,30
642,802221,33
643,88934,8
644,4409430,6
645,1043620,51
646,751167,149
647,733743,26
648,50211,4
649,8347711,1
650,933272,63
651,6927649,18
652,8673308,16
653,27553,11
654,5503739,25
655,97794,17
656,25812,60
657,2044711,9
658,2478,1440
659,3975828,20
660,4165,385
661,890719,8
662,3694536,59
663,80408,139
664,32398,43
665,4167617,55
666,32923,117
667,4186351,47
668,2041247,3
669,65063,554
670,6212405,3
671,145575,1
672,9758366,86
673,789795,178
674,894624,70
675,4038025,129
676,6733535,9
677,1684253,74
678,194433,3
679,3877,1005
680,129041,47
681,29711,24
682,4166064,44
683,7092476,30
684,4901526,2
685,2931244,11
686,5010311,33
687,1702246,4
688,1068534,44
689,4248113,56
690,2429813,97
691,2725719,2
692,10116760,3
693,70061,399
694,858952,281
695,330188,729
696,5272033,1
697,33985,71
698,4271109,12
699,6487703,8
700,440112,51
701,126497,148
702,5650525,13
703,20177,195
704,120097,8
705,39184,12
706,7517186,26
707,1989064,4
708,6965658,8
709,2708809,12
710,148099,66
711,5304050,2
712,15146,139
713,315928,7
714,3574210,172
715,1661789,33
716,2552468,4
717,1189983,3
718,6161565,13
719,5220356,149
720,15514,1850
721,4890263,18
722,6336405,4
723,736424,8
724,4249434,174
725,6486612,24
726,194590,42
727,794121,5
728,8526,2
729,5337110,36
730,10320382,4
731,36156,31
732,7834,109
733,14856,147
734,8663719,9
735,1665245,7
736,5866472,1
737,10298836,2
738,2074249,338
739,967568,46
740,1034490,23
741,2654971,3
742,173219,6
743,3299306,7
744,59394,650
745,2312219,55
746,6815,482
747,4445807,63
748,4170073,5
749,5118420,152
750,3223247,2
751,6641274,17
752,6114000,4
753,823516,1
754,1684263,96
755,686294,1
756,3615,16
757,10413682,3
758,5835736,1
759,8295696,10
760,7251970,7
761,1187756,4
762,6393986,16
763,9380662,1
764,725381,593
765,3747780,1
766,100366,3
767,348528,32
768,120220,60
769,20393,75
770,85148,171
771,120195,88
772,33021,25
773,751087,3
774,2724734,4
775,120257,361
776,120177,11
777,3272191,58
778,1354257,28
779,30141,17
780,1449159,158
781,1511102,537
782,4725848,5
783,733015,6
784,303346,64
785,518671,144
786,756627,20
787,5087879,14
788,756320,3
789,2934096,168
790,1322149,25
791,823513,24
792,756575,1
793,314074,35
794,488064,1
795,1612751,181
796,1229820,42
797,81243,81
798,5515832,14
799,3410555,89
800,5319785,1
801,10741109,13
802,5445699,21
803,4576739,23
804,5748030,35
805,2942912,48
806,15203,180
807,1702248,41
808,982152,11
809,143685,2
810,48435,122
811,4988136,5
812,3583288,6
813,21103,294
814,5282240,2
815,791539,9
816,5030844,58
817,967582,148
818,1103506,1
819,1200817,8
820,4828903,3
821,106911,103
822,7439,10
823,6904329,14
824,2758042,27
825,5675799,17
826,5869189,21
827,4347,479
828,5321180,19
829,3064,975
830,93594,7
831,119781,258
832,4660753,24
833,200598,37
834,4212921,132
835,51359,62
836,2859911,1
837,353940,627
838,5040011,95
839,9484,2
840,5579284,2
841,6393974,10
842,764008,14
843,26425,5
844,2548686,7
845,275723,13
846,4576738,35
847,13742,117
848,9081453,3
849,598515,34
850,3494667,483
851,25354,3187
852,85606,196
853,2522052,36
854,141009,3
855,4660963,3
856,212867,24
857,397009,117
858,6965472,41
859,2355845,153
860,7758549,1
861,3944,221
862,6840748,5
863,5048182,36
864,32415,17
865,819560,37
866,3894902,70
867,9979806,4
868,142856,73
869,294431,12
870,9645307,2
871,6311367,11
872,1379916,5
873,4206207,8
874,742675,16
875,3414,235
876,6112167,5
877,3680306,4
878,1464721,1
879,236096,6
880,2207,138
881,91816,2
882,1015984,9
883,6499177,6
884,8860271,15
885,70015,694
886,67136,382
887,5010293,105
888,89623,13
889,16544,19
890,8663503,8
891,5227889,8
892,3904184,12
893,611310,1
894,55242,252
895,6036050,108
896,3462757,1
897,6765804,136
898,4278556,1
899,2617523,8
900,5853359,9
901,7554850,6
902,2318729,2
903,6862,12
904,1422435,6
905,2018490,4
906,215956,3
907,712485,6
908,9351018,7
909,10693,15
910,1157749,28
911,308350,13
912,26783,8
913,5227897,8
914,8333193,5
915,25389,1
916,627896,9
917,6893042,16
918,2130105,7
919,10555423,12
920,5424692,8
921,132062,1
922,14041,1
923,967576,23
924,4599031,7
925,10041208,35
926,85089,120
927,97193,111
928,4775820,7
929,5048192,25
930,4215202,13
931,5233035,5
932,2892169,6
933,100558,1
934,397011,45
935,156388,8
936,2488263,1
937,3762671,39
938,73456,51
939,23850,3
940,481517,23
941,77898,3
942,5743785,2
943,2548718,61
944,1264065,6
945,8663370,3
946,6114003,7
947,73192,19
948,2806584,1
949,4966051,33
950,31427,90
951,397146,66
952,10198377,3
953,3344698,29
954,7270276,24
955,1739798,20
956,31334,351
957,1263779,44
958,115246,10
959,90028,29
960,155832,29
961,8872876,4
962,20851,304
963,13943,498
964,4315228,36
965,708288,76
966,791809,47
967,474144,8
968,1047332,52
969,4009993,2
970,14185,267
971,9808349,11
972,210145,45
973,85073,357
974,85087,27
975,212846,42
976,991,263
977,40538,41
978,889006,222
979,2096313,2
980,33511,34
981,8953218,17
982,26324,34
983,333874,9
984,82885,10
985,8551115,51
986,262253,43
987,33573,23
988,5424685,11
989,48640,76
990,17111,10
991,82355,5
992,61470,56
993,6211843,8
994,926424,2
995,4072662,14
996,126946,23
997,4048004,17
998,819252,11
999,958337,5
1000,2067,3
1001,6172454,75
1002,93382,77
1003,3066,522
1004,6407161,16
1005,317998,57
1006,205639,2
1007,5224130,53
1008,120739,1428
1009,527955,2
1010,4248106,2
1011,1481146,6
1012,7579567,1
1013,3020906,78
1014,623705,14
1015,8165831,115
1016,793853,2
1017,15776,37
1018,12609,8
1019,981336,5
1020,451807,138
1021,5048203,14
1022,8883098,18
1023,6687111,47
1024,20420,660
1025,1468357,35
1026,6896044,2
1027,3537007,102
1028,1874986,2
1029,1532289,47
1030,3543915,33
1031,1185640,12
1032,1153123,3
1033,4619157,5
1034,5748037,21
1035,3746,1
1036,4901519,11
1037,100966,12
1038,11072,1
1039,534588,72
1040,396996,131
1041,297890,324
1042,7008779,3
1043,94803,43
1044,1217171,18
1045,84031,64
1046,16295,35
1047,209846,32
1048,131414,37
1049,7016349,63
1050,338527,38
1051,49356,64
1052,5361932,19
1053,5048016,16
1054,5589527,5
1055,6892655,15
1056,4461170,75
1057,3621253,9
1058,6724649,173
1059,18741,764
1060,7389341,17
1061,4445805,40
1062,6673861,2
1063,139985,20
1064,5626168,10
1065,516688,39
1066,4333117,4
1067,275459,15
1068,109262,35
1069,3386609,2
1070,5912345,50
1071,5335914,31
1072,575827,1
1073,129382,40
1074,8880,686
1075,1252804,16
1076,4775782,199
1077,6965511,1
1078,835698,21
1079,3543916,34
1080,397663,22
1081,4901504,9
1082,5227903,5
1083,32137,6
1084,6700510,2
1085,9438045,47
1086,2425531,66
1087,5343390,1
1088,3977861,34
1089,3923183,43
1090,65143,67
1091,432928,3
1092,12754,32
1093,2323086,11
1094,99146,7
1095,6048,22
1096,405105,72
1097,5446053,4
1098,6415043,1
1099,8358848,11
1100,5692,435
1101,1565013,2
1102,60955,1
1103,83685,91
1104,125660,37
1105,7579668,12
1106,3621128,1
1107,120173,11
1108,268811,754
1109,5247521,1
1110,4988134,2
1111,3621211,650
1112,2331343,124
1113,4966060,63
1114,5187208,36
1115,1218020,1
1116,462862,2
1117,9648119,2
1118,2038,7
1119,3537004,1
1120,6063,10
1121,173557,47
1122,4445814,103
1123,60271,62
1124,5757,231
1125,4918590,4
1126,8371,1
1127,4190017,5
1128,100670,13
1129,3469010,33
1130,1714510,45
1131,967581,6
1132,3895340,19
1133,16632,55
1134,7961618,140
1135,954244,1
1136,8188145,14
1137,1630355,41
1138,2011,1
1139,8275599,6
1140,965656,19
1141,2877004,126
1142,2408999,1
1143,1024736,5
1144,5023305,9
1145,5750,3
1146,9377247,3
1147,247240,29
1148,621605,4
1149,22614,20
1150,5917293,25
